"term","estimate","se","rr","rr_lcl","rr_ucl"
"age_group10～14歳:fiscal_year2023",-0.398742862575888,0.00810823051028461,0.671163260358733,0.660581352614789,0.681914680564781
"age_group15～19歳:fiscal_year2023",-0.455087502455385,0.00870027339190024,0.63439245462203,0.623666169649839,0.645303218398594
"age_group20～24歳:fiscal_year2023",-0.0620885600948807,0.00711250215981758,0.939799654359048,0.926789269660498,0.95299268047949
"age_group25～29歳:fiscal_year2023",5.79304392346832e-05,0.00644950360729891,1.00005793211723,0.987495739515282,1.0127799316699
"age_group30～34歳:fiscal_year2023",-0.0156601298434477,0.00638656633867696,0.984461852407181,0.972215491647755,0.996862472539286
"age_group35～39歳:fiscal_year2023",-0.0683791640840818,0.00641190713566696,0.933906302709135,0.922243028217865,0.94571707842047
"age_group40～44歳:fiscal_year2023",-0.138538581973914,0.00661438864241421,0.87062966001028,0.859415489903486,0.881990159352074
"age_group45～49歳:fiscal_year2023",-0.202213158561718,0.00681962811369912,0.816920775724287,0.806074080293808,0.827913426476539
"age_group50～54歳:fiscal_year2023",-0.281403749848088,0.00714292728034813,0.754723554436246,0.744230941317871,0.765364098692578
"age_group55～59歳:fiscal_year2023",-0.311545546119356,0.00789105102149915,0.732314255673289,0.721075085659552,0.743728607086453
"age_group60～64歳:fiscal_year2023",-0.351158396720998,0.00904589646345558,0.703872253968216,0.691502609786744,0.716463167158669
"age_group65～69歳:fiscal_year2023",-0.387027600566235,0.0103147809268296,0.679072351886552,0.665481412820713,0.692940854864971
"age_group70～74歳:fiscal_year2023",-0.460669991953861,0.0105389274729902,0.630860832200405,0.617963249697887,0.644027601639995
"age_group75～79歳:fiscal_year2023",-0.393097110529662,0.0112754509652794,0.674963198369729,0.660210210165326,0.690045855303286
"age_group80～84歳:fiscal_year2023",-0.281885186929376,0.0114564261739434,0.754360289982525,0.737610197028653,0.771490754052595
"age_group85～89歳:fiscal_year2023",-0.0968148544451595,0.0116036696607248,0.907724051649537,0.887312500513012,0.928605145838322
"age_group90歳以上:fiscal_year2023",0.114902308341331,0.0119485241699203,1.12176384524822,1.09579836818638,1.14834458695967
"age_group5～9歳:fiscal_year2024",-0.585015062159351,0.00645493819458937,0.557097470658103,0.550093650826437,0.564190463473606
"age_group10～14歳:fiscal_year2024",-0.81545573738292,0.00748582336748513,0.442437646033073,0.435993496868661,0.448977042165047
"age_group15～19歳:fiscal_year2024",-0.878964928573806,0.00802601090665973,0.415212463891795,0.408731871039641,0.421795808906654
"age_group20～24歳:fiscal_year2024",-0.19901561827926,0.00640847330661803,0.81953709347378,0.809307588453414,0.829895897631402
"age_group25～29歳:fiscal_year2024",-0.118788381696253,0.00581378463217912,0.887995697023243,0.877934403358081,0.898172295009354
"age_group30～34歳:fiscal_year2024",-0.149092282882404,0.00575899400396243,0.86148961048615,0.851820111544498,0.871268873459568
"age_group35～39歳:fiscal_year2024",-0.236718396948388,0.00579570188628148,0.789213501658562,0.780299098920944,0.798229745570005
"age_group40～44歳:fiscal_year2024",-0.334535965697045,0.0059737952212727,0.715670104790853,0.707339447652066,0.72409887585301
"age_group45～49歳:fiscal_year2024",-0.420572100431226,0.0061637450091183,0.656671030550955,0.648785554973861,0.664652347850479
"age_group50～54歳:fiscal_year2024",-0.560567258225785,0.00646171174047694,0.570885132693696,0.56370049078984,0.578161346416506
"age_group55～59歳:fiscal_year2024",-0.652199194302212,0.00719002198667664,0.520898958163943,0.513609701590031,0.528291665395496
"age_group60～64歳:fiscal_year2024",-0.729408471821879,0.00829825079023782,0.482194137165081,0.474414890666677,0.490100944322464
"age_group65～69歳:fiscal_year2024",-0.841206559081023,0.00961046657183653,0.431189953289131,0.423143855612183,0.439389047841654
"age_group70～74歳:fiscal_year2024",-0.875413199200245,0.00984354374930295,0.416689808206636,0.408727524200116,0.424807202801132
"age_group75～79歳:fiscal_year2024",-0.795474219707932,0.0103574925937618,0.451367136970006,0.442296456711806,0.460623840062208
"age_group80～84歳:fiscal_year2024",-0.595690637406787,0.0104409983801465,0.551181767639545,0.540016818665558,0.562577554026891
"age_group85～89歳:fiscal_year2024",-0.365076784253007,0.0106371090310025,0.694143349553079,0.679821158265625,0.70876727484922
"age_group90歳以上:fiscal_year2024",-0.069575591684958,0.010917565646372,0.932789619580406,0.913041431086272,0.952964941976158
"visit_typefollowup:fiscal_year2023",0.118961595565454,0.00293551018081413,1.12632666151918,1.11986483569718,1.13282577326323
"visit_typefollowup:fiscal_year2024",0.176050305409824,0.00267370324544373,1.19249804624474,1.18626515575345,1.19876368567389
