prefecture_code,sma_code,area_name,online_primary_count,standard_base_count,online_per_10000_standard_base,online_primary_missing_components
03,0301,盛岡,1669.6666666666667,5223008.0,3.196753033245721,0
24,2402,中勢伊賀,1665.6666666666667,5743539.666666667,2.900069927841826,1
07,0707,いわき,1644.3333333333333,3817487.6666666665,4.307370388361001,1
09,0905,県南,1552.3333333333333,5809548.666666667,2.672037747510621,1
16,1602,富山,1542.3333333333333,5437868.333333333,2.8362829674986,1
26,2606,山城南,1541.0,996558.6666666666,15.463214074033441,0
08,0801,水戸,1467.6666666666667,5555477.0,2.641837355580208,1
19,1904,富士・東部,1445.3333333333333,1671207.3333333333,8.648438194981592,1
40,4006,久留米,1431.3333333333333,6365171.0,2.2486958061823215,0
10,1004,高崎・安中,1398.3333333333333,5020462.333333333,2.7852680500142517,0
25,2502,湖南,1340.6666666666667,3868923.3333333335,3.4652190058043715,0
23,2305,尾張西部,1333.3333333333333,6165204.333333333,2.162675008392531,1
42,4201,長崎,1303.6666666666667,7112608.666666667,1.8328952537151628,1
11,1108,利根,1303.3333333333333,6117298.666666667,2.1305700511816323,0
24,2403,南勢志摩,1275.3333333333333,5086144.0,2.507466035828583,0
34,3402,広島西,1269.3333333333333,1738280.0,7.3022374607849905,1
22,2207,中東遠,1232.0,4984688.0,2.471568932699499,1
08,0805,土浦,1225.0,2765221.3333333335,4.430025131201071,0
23,2310,西三河南部東,1224.3333333333333,4800736.333333333,2.550303220846191,1
12,1209,市原,1212.3333333333333,2665240.3333333335,4.5486829768072194,1
34,3406,福山・府中,1201.0,5972770.333333333,2.0107922002246754,0
06,0601,村山,1199.0,6796940.0,1.7640291072158942,1
04,0406,大崎・栗原,1198.0,2740415.6666666665,4.371599588237649,1
23,2307,知多半島,1158.3333333333333,6754590.0,1.7148832620978227,1
08,0807,取手・竜ヶ崎,1114.0,4456401.333333333,2.499774855705695,0
43,4303,有明,1109.0,1845924.6666666667,6.00782913856723,2
07,0708,会津・南会津,1103.6666666666667,2520084.6666666665,4.37948248828677,2
23,2312,東三河南部,1103.6666666666667,8012362.0,1.3774548212707647,1
15,1504,中越,1080.6666666666667,4113355.6666666665,2.627214260668115,0
29,2901,奈良,1077.6666666666667,4467336.333333333,2.4123248984536576,1
07,0701,県北,1049.6666666666667,4945811.0,2.1223347731376445,1
10,1001,前橋,1036.0,4430259.666666667,2.338463381266064,0
36,3601,東部,1024.3333333333333,6582995.666666667,1.556029177597818,1
39,3902,中央,1005.6666666666666,6055003.666666667,1.6608853140799087,0
23,2309,西三河南部西,992.0,7664733.0,1.29423947318191,1
16,1603,高岡,976.3333333333334,2873050.6666666665,3.3982461383672082,1
01,0119,十勝,969.6666666666666,3407230.0,2.8459090424381874,0
23,2306,尾張北部,955.3333333333334,8371530.333333333,1.1411692907919544,0
33,3302,県南西部,912.6666666666666,8120930.333333333,1.1238449650534703,0
14,1411,県西,907.6666666666666,3446019.6666666665,2.6339567224369684,0
01,0101,南渡島,880.3333333333334,4203425.666666667,2.0943235426152813,1
11,1105,県央,853.3333333333334,5566870.333333333,1.5328780485935516,1
17,1703,能登中部,843.3333333333334,1046541.3333333334,8.058289782470768,1
32,3201,松江,836.6666666666666,2604821.3333333335,3.2119925307737036,1
05,0503,能代・山本,810.3333333333334,917230.0,8.83457075469984,1
03,0307,宮古,808.6666666666666,718644.6666666666,11.252663578755193,2
22,2206,志太榛原,801.0,4848181.333333333,1.6521659255869419,1
26,2605,山城北,759.0,4202925.666666667,1.8058849006529338,1
09,0901,県北,752.6666666666666,3630592.3333333335,2.0731236050829907,1
30,3001,和歌山,750.3333333333334,5881076.0,1.2758436268011728,0
45,4502,都城北諸県,748.0,2546678.0,2.937159703739538,0
20,2001,佐久,728.0,2149404.6666666665,3.386984364972999,1
08,0808,筑西・下妻,711.3333333333334,2206255.6666666665,3.224165467676986,0
23,2308,西三河北部,703.6666666666666,5036144.666666667,1.3972328303515769,1
29,2902,東和,701.0,2233489.6666666665,3.1385862691104163,1
25,2506,湖北,700.6666666666666,1517193.0,4.6181775599193156,1
01,0120,釧路,688.0,2138003.6666666665,3.217955192156671,0
31,3102,中部,683.6666666666666,1003799.3333333334,6.810790204416685,0
11,1109,北部,682.6666666666666,5228066.333333333,1.3057727716920704,2
02,0203,青森地域,680.3333333333334,3463599.6666666665,1.9642377838316383,1
44,4405,南部,661.6666666666666,683954.6666666666,9.674130449191566,2
46,4609,曽於,655.0,644339.0,10.165456382432229,0
21,2103,中濃,649.3333333333334,3629761.0,1.7889148440719194,1
43,4309,芦北,640.3333333333334,594050.6666666666,10.779103017026607,3
01,0117,北網,615.0,2067026.0,2.975289135211652,1
01,0105,後志,614.6666666666666,1899339.6666666667,3.236212445062047,1
40,4002,粕屋,613.6666666666666,2907175.0,2.11086937204216,0
15,1506,上越,612.0,2641062.3333333335,2.317249359380259,0
04,0401,仙南,609.3333333333334,1424718.0,4.27686976182889,1
29,2904,中和,600.3333333333334,4435902.0,1.353351208690664,1
05,0504,秋田周辺,587.3333333333334,4744494.333333333,1.237926093001973,1
01,0109,西胆振,584.3333333333334,1782152.3333333333,3.2788068808932724,1
29,2903,西和,580.3333333333334,3613730.0,1.6059122660888703,1
32,3204,大田,567.6666666666666,515528.0,11.011364400511061,2
15,1505,魚沼,549.6666666666666,1245722.6666666667,4.412432087612865,0
