area_type,prefecture_code,sma_code,prefecture_name,area_name,column,fiscal_year,online_primary_count,online_primary_missing_components,standard_base_count,standard_base_missing_components,population_known_thousand,population_65plus_thousand,population_75plus_thousand,share_65plus,share_75plus,clinic_count_2023,remote_home_support_facilities_2023,online_per_100k_provider_location,standard_base_per_100k_provider_location,online_per_10000_standard_base,clinic_per_100k,online_per_clinic,online_components_complete,standard_base_components_complete
prefecture,37,,香川県,香川県,42,2022,458.0,0,11953035.0,0,942.0,303.0,155.0,0.321656050955414,0.16454352441613587,816.0,6.0,48.61995753715499,1268899.6815286623,0.38316628370953487,86.62420382165605,0.5612745098039216,True,True
prefecture,38,,愛媛県,愛媛県,43,2022,3743.0,0,15804013.0,0,1321.0,444.0,230.0,0.336109008327025,0.17411052233156699,1175.0,9.0,283.3459500378501,1196367.3732021197,2.368385801758073,88.94776684330053,3.185531914893617,True,True
prefecture,39,,高知県,高知県,44,2022,1184.0,0,7386916.0,0,684.0,245.0,131.0,0.358187134502924,0.1915204678362573,514.0,2.0,173.09941520467837,1079958.4795321638,1.6028339837626417,75.14619883040936,2.3035019455252916,True,True
prefecture,40,,福岡県,福岡県,45,2022,11025.0,0,60269472.0,0,5123.0,1445.0,721.0,0.28206129221159476,0.1407378489166504,4806.0,39.0,215.2059340230334,1176448.7995315245,1.8292843182697867,93.81221940269373,2.2940074906367043,True,True
prefecture,41,,佐賀県,佐賀県,46,2022,2520.0,0,10556699.0,0,807.0,251.0,126.0,0.3110285006195787,0.15613382899628253,693.0,7.0,312.26765799256503,1308141.140024783,2.3871098342389034,85.8736059479554,3.6363636363636362,True,True
prefecture,42,,長崎県,長崎県,47,2022,1354.0,1,15953591.0,0,1296.0,435.0,219.0,0.33564814814814814,0.16898148148148148,1317.0,5.0,104.4753086419753,1230986.9598765431,0.8487117414505612,101.62037037037037,1.0280941533788914,False,True
prefecture,43,,熊本県,熊本県,48,2022,16311.0,0,20893882.0,0,1729.0,551.0,283.0,0.31868131868131866,0.16367842683632158,1470.0,17.0,943.3776749566223,1208437.3626373627,7.806591422312043,85.02024291497976,11.095918367346938,True,True
prefecture,44,,大分県,大分県,49,2022,2026.0,1,12881852.0,0,1115.0,376.0,195.0,0.33721973094170404,0.17488789237668162,947.0,7.0,181.70403587443946,1155323.0493273542,1.5727552218423253,84.93273542600897,2.139387539598733,False,True
prefecture,45,,宮崎県,宮崎県,50,2022,2520.0,0,12836436.0,0,1060.0,351.0,178.0,0.3311320754716981,0.16792452830188678,906.0,3.0,237.73584905660377,1210984.5283018867,1.9631617374168342,85.47169811320755,2.781456953642384,True,True
prefecture,46,,鹿児島県,鹿児島県,51,2022,4465.0,0,19016470.0,0,1576.0,521.0,265.0,0.33058375634517767,0.1681472081218274,1369.0,13.0,283.31218274111677,1206628.807106599,2.3479646853490683,86.86548223350253,3.2615047479912347,True,True
prefecture,47,,沖縄県,沖縄県,52,2022,4014.0,0,12876357.0,0,1468.0,339.0,156.0,0.23092643051771117,0.10626702997275204,928.0,8.0,273.433242506812,877136.0354223433,3.11734134118835,63.21525885558583,4.325431034482759,True,True
prefecture,01,,北海道,北海道,6,2023,17171.0,0,54179105.0,0,5183.0,1686.0,864.0,0.32529423114026623,0.16669882307543893,3403.0,29.0,331.2946170171715,1045323.2683773877,3.169302999745012,65.65695543121744,5.045841904202175,True,True
prefecture,02,,青森県,青森県,7,2023,5105.0,0,14633700.0,0,1222.0,419.0,211.0,0.34288052373158756,0.17266775777414076,850.0,3.0,417.7577741407529,1197520.458265139,3.4885230666201985,69.55810147299509,6.0058823529411764,True,True
prefecture,03,,岩手県,岩手県,8,2023,3831.0,0,12928518.0,0,1197.0,409.0,213.0,0.341687552213868,0.17794486215538846,879.0,9.0,320.0501253132832,1080076.6917293232,2.9632166656688725,73.43358395989975,4.3583617747440275,True,True
prefecture,04,,宮城県,宮城県,9,2023,4383.0,0,25183366.0,0,2290.0,655.0,322.0,0.28602620087336245,0.1406113537117904,1724.0,11.0,191.39737991266375,1099710.3056768558,1.7404345392113192,75.28384279475982,2.5423433874709978,True,True
prefecture,05,,秋田県,秋田県,10,2023,2292.0,1,10751332.0,0,945.0,360.0,188.0,0.38095238095238093,0.19894179894179895,806.0,7.0,242.53968253968253,1137707.08994709,2.1318288747850036,85.29100529100529,2.8436724565756824,False,True
prefecture,06,,山形県,山形県,11,2023,5466.0,0,12894683.0,0,1055.0,362.0,188.0,0.34312796208530805,0.17819905213270143,881.0,1.0,518.1042654028436,1222244.8341232229,4.238956475316222,83.50710900473933,6.204313280363223,True,True
prefecture,07,,福島県,福島県,12,2023,8547.0,0,19743391.0,0,1812.0,585.0,289.0,0.3228476821192053,0.15949227373068434,1372.0,9.0,471.6887417218543,1089591.1147902869,4.329043577164632,75.71743929359823,6.229591836734694,True,True
prefecture,08,,茨城県,茨城県,13,2023,7763.0,0,29023328.0,0,2852.0,860.0,424.0,0.3015427769985975,0.14866760168302945,1760.0,11.0,272.19495091164094,1017648.2468443197,2.6747449499933293,61.711079943899016,4.410795454545455,True,True
prefecture,09,,栃木県,栃木県,14,2023,7205.0,0,22095472.0,0,1922.0,569.0,273.0,0.29604578563995837,0.14203954214360043,1482.0,5.0,374.86992715920917,1149608.3246618106,3.260849100666417,77.10718002081165,4.861673414304994,True,True
prefecture,10,,群馬県,群馬県,15,2023,5134.0,0,21646709.0,0,1927.0,589.0,299.0,0.30565646081992737,0.1551634665282823,1563.0,9.0,266.4244940321744,1123337.2599896211,2.3717231104275482,81.11053450960041,3.284708893154191,True,True
prefecture,11,,埼玉県,埼玉県,16,2023,45032.0,0,75701997.0,0,7340.0,2000.0,1013.0,0.2724795640326976,0.13801089918256132,4530.0,37.0,613.5149863760219,1031362.3569482289,5.9485881198087815,61.716621253406,9.94083885209713,True,True
prefecture,12,,千葉県,千葉県,17,2023,34289.0,0,63813228.0,0,6275.0,1748.0,892.0,0.2785657370517928,0.14215139442231076,3942.0,50.0,546.4382470119522,1016943.8725099602,5.37333732748953,62.820717131474105,8.698376458650431,True,True
prefecture,13,,東京都,東京都,18,2023,642114.0,0,167600629.0,0,14010.0,3202.0,1701.0,0.22855103497501786,0.12141327623126338,14894.0,212.0,4583.254817987152,1196292.8551034974,38.312147384602,106.30977872947895,43.112259970457906,True,True
prefecture,14,,神奈川県,神奈川県,19,2023,72486.0,0,102379361.0,0,9236.0,2376.0,1248.0,0.2572542226071893,0.13512343005630142,7150.0,76.0,784.8202685145085,1108481.604590732,7.080137958665321,77.41446513642269,10.137902097902098,True,True
prefecture,15,,新潟県,新潟県,20,2023,4214.0,0,22839940.0,0,2178.0,723.0,371.0,0.3319559228650138,0.17033976124885217,1655.0,12.0,193.48025711662075,1048665.748393021,1.8450136033632312,75.98714416896235,2.546223564954683,True,True
prefecture,16,,富山県,富山県,21,2023,2663.0,0,10605935.0,0,1026.0,337.0,176.0,0.3284600389863548,0.17153996101364521,744.0,5.0,259.55165692007796,1033716.8615984406,2.510858307164809,72.51461988304094,3.579301075268817,True,True
prefecture,17,,石川県,石川県,22,2023,4999.0,0,11942216.0,0,1125.0,338.0,172.0,0.30044444444444446,0.15288888888888888,879.0,5.0,444.35555555555555,1061530.3111111112,4.185990271822248,78.13333333333334,5.6871444823663255,True,True
prefecture,18,,福井県,福井県,23,2023,4312.0,0,8349459.0,0,761.0,236.0,121.0,0.31011826544021026,0.1590013140604468,571.0,5.0,566.622864651774,1097169.38239159,5.164406460346712,75.03285151116951,7.551663747810858,True,True
prefecture,19,,山梨県,山梨県,24,2023,1775.0,0,9134446.0,0,806.0,252.0,130.0,0.31265508684863524,0.16129032258064516,726.0,3.0,220.22332506203475,1133305.9553349875,1.9431939276886632,90.07444168734492,2.4449035812672175,True,True
prefecture,20,,長野県,長野県,25,2023,4960.0,0,21620276.0,0,2033.0,657.0,355.0,0.32316773241515,0.17461878996556812,1599.0,12.0,243.9744220363994,1063466.6010821445,2.2941427759756627,78.65223807181505,3.1019387116948094,True,True
prefecture,21,,岐阜県,岐阜県,26,2023,4357.0,0,23858919.0,0,1962.0,605.0,312.0,0.30835881753312944,0.15902140672782875,1598.0,15.0,222.06931702344545,1216050.9174311927,1.8261514698130288,81.44750254841998,2.7265331664580725,True,True
prefecture,22,,静岡県,静岡県,27,2023,9229.0,0,42075316.0,0,3607.0,1099.0,568.0,0.30468533407263654,0.1574715830329914,2724.0,27.0,255.86359855835875,1166490.6016079844,2.193447578623058,75.51982256723039,3.3880323054331867,True,True
prefecture,23,,愛知県,愛知県,28,2023,58128.0,0,90987196.0,0,7517.0,1918.0,992.0,0.25515498204070775,0.13196754024211788,5682.0,62.0,773.2872156445391,1210418.9969402687,6.388591203535935,75.58866569110018,10.230200633579726,True,True
prefecture,24,,三重県,三重県,29,2023,5546.0,0,21455558.0,0,1756.0,531.0,276.0,0.30239179954441914,0.1571753986332574,1498.0,6.0,315.83143507972665,1221842.7107061504,2.5848780069015214,85.30751708428247,3.7022696929238985,True,True
prefecture,25,,滋賀県,滋賀県,30,2023,2502.0,0,14645145.0,0,1410.0,376.0,187.0,0.26666666666666666,0.1326241134751773,1143.0,10.0,177.4468085106383,1038662.7659574468,1.7084159972468693,81.06382978723404,2.188976377952756,True,True
prefecture,26,,京都府,京都府,31,2023,8405.0,0,28943665.0,0,2562.0,758.0,400.0,0.29586260733801717,0.156128024980484,2488.0,20.0,328.064012490242,1129729.31303669,2.903916971123042,97.11163153786104,3.3782154340836015,True,True
prefecture,27,,大阪府,大阪府,32,2023,61154.0,0,113058850.0,0,8806.0,2442.0,1296.0,0.2773109243697479,0.1471723824665001,8877.0,95.0,694.4583238700885,1283884.283443107,5.409041397466894,100.80626845332728,6.889039089782584,True,True
prefecture,28,,兵庫県,兵庫県,33,2023,28110.0,0,68411118.0,0,5432.0,1608.0,835.0,0.2960235640648012,0.15371870397643594,5196.0,56.0,517.4889543446244,1259409.3888070693,4.108981233138158,95.65537555228276,5.409930715935335,True,True
prefecture,29,,奈良県,奈良県,34,2023,3117.0,1,15562241.0,0,1316.0,423.0,219.0,0.32142857142857145,0.16641337386018237,1213.0,2.0,236.85410334346506,1182541.1094224923,2.0029249000834777,92.17325227963526,2.569661995053586,False,True
prefecture,30,,和歌山県,和歌山県,35,2023,1195.0,0,12165836.0,0,914.0,308.0,163.0,0.33698030634573306,0.17833698030634573,1008.0,11.0,130.74398249452955,1331054.2669584246,0.98225884353529,110.28446389496717,1.185515873015873,True,True
prefecture,31,,鳥取県,鳥取県,36,2023,1268.0,0,6246104.0,0,549.0,180.0,92.0,0.32786885245901637,0.16757741347905283,474.0,3.0,230.96539162112933,1137723.8615664844,2.0300654616061466,86.33879781420765,2.6751054852320677,True,True
prefecture,32,,島根県,島根県,37,2023,9987.0,0,7743299.0,0,665.0,229.0,121.0,0.3443609022556391,0.18195488721804512,689.0,5.0,1501.8045112781954,1164405.8646616542,12.897603463330036,103.60902255639098,14.494920174165458,True,True
prefecture,33,,岡山県,岡山県,38,2023,2397.0,0,21745048.0,0,1876.0,575.0,305.0,0.30650319829424305,0.16257995735607675,1550.0,12.0,127.77185501066099,1159117.697228145,1.1023199396938559,82.62260127931769,1.5464516129032257,True,True
prefecture,34,,広島県,広島県,39,2023,7253.0,0,35362096.0,0,2779.0,827.0,431.0,0.29758906081324216,0.15509175962576466,2521.0,34.0,260.9931630082764,1272475.5667506298,2.051066203768012,90.71608492263404,2.8770329234430783,True,True
prefecture,35,,山口県,山口県,40,2023,1218.0,0,17063228.0,0,1328.0,465.0,245.0,0.3501506024096386,0.1844879518072289,1194.0,8.0,91.71686746987952,1284881.626506024,0.7138156977097182,89.90963855421687,1.020100502512563,True,True
prefecture,36,,徳島県,徳島県,41,2023,1702.0,0,8985879.0,0,712.0,247.0,125.0,0.34691011235955055,0.175561797752809,688.0,5.0,239.04494382022472,1262061.6573033708,1.8940829272239255,96.62921348314607,2.4738372093023258,True,True
prefecture,37,,香川県,香川県,42,2023,631.0,0,12465097.0,0,942.0,303.0,155.0,0.321656050955414,0.16454352441613587,816.0,6.0,66.98513800424628,1323258.7048832271,0.5062134694980713,86.62420382165605,0.7732843137254902,True,True
prefecture,38,,愛媛県,愛媛県,43,2023,2355.0,0,16648781.0,0,1321.0,444.0,230.0,0.336109008327025,0.17411052233156699,1175.0,9.0,178.27403482210445,1260316.502649508,1.4145179758205721,88.94776684330053,2.0042553191489363,True,True
prefecture,39,,高知県,高知県,44,2023,1259.0,0,7798483.0,0,684.0,245.0,131.0,0.358187134502924,0.1915204678362573,514.0,2.0,184.06432748538012,1140129.0935672515,1.61441654742339,75.14619883040936,2.4494163424124515,True,True
prefecture,40,,福岡県,福岡県,45,2023,18195.0,0,64923176.0,0,5123.0,1445.0,721.0,0.28206129221159476,0.1407378489166504,4806.0,39.0,355.1629904352918,1267288.2295529963,2.802543116498182,93.81221940269373,3.785892634207241,True,True
prefecture,41,,佐賀県,佐賀県,46,2023,2744.0,1,10929847.0,0,807.0,251.0,126.0,0.3110285006195787,0.15613382899628253,693.0,7.0,340.02478314745974,1354380.049566295,2.5105566436565856,85.8736059479554,3.95959595959596,False,True
prefecture,42,,長崎県,長崎県,47,2023,1958.0,0,16812557.0,0,1296.0,435.0,219.0,0.33564814814814814,0.16898148148148148,1317.0,5.0,151.08024691358025,1297265.200617284,1.1646057170244835,101.62037037037037,1.486712224753227,True,True
