year,prefecture_code,prefecture_name,reporting_facilities,facilities_with_observed_online_use,facilities_with_suppressed_online_component,observed_online_patient_days,top1_share_observed_pct,top2_share_observed_pct,top5_share_observed_pct,hhi_observed,population,observed_online_patient_days_per_10k
2023,41,佐賀県,198.0,7.0,4.0,1015.0,67.7832512315271,85.32019704433498,97.4384236453202,4964.983377417555,799901,12.689070272446216
2023,33,岡山県,253.0,8.0,2.0,922.0,74.40347071583514,87.09327548806941,95.44468546637744,5727.64573853878,1861574,4.952798008566944
2023,08,茨城県,235.0,11.0,7.0,893.0,47.59238521836507,72.67637178051511,88.12989921612542,3008.856992735585,2826233,3.159682871157474
2023,38,愛媛県,226.0,14.0,11.0,890.0,23.146067415730336,40.44943820224719,65.0561797752809,1224.037369019063,1315856,6.763658029450031
2023,17,石川県,126.0,7.0,4.0,889.0,30.371203599550057,58.042744656917876,95.50056242969627,2175.7868005531927,1116419,7.962960143100395
2023,06,山形県,89.0,7.0,2.0,841.0,53.5077288941736,79.19143876337694,96.43281807372175,3679.372130737288,1052837,7.987941153283937
2023,24,三重県,140.0,9.0,5.0,820.0,30.609756097560975,57.804878048780495,84.75609756097562,2013.6525877453898,1745077,4.698933055676053
2023,31,鳥取県,68.0,5.0,5.0,646.0,65.3250773993808,90.55727554179566,100.0,4936.115557515168,545536,11.841564992961052
2023,36,徳島県,154.0,9.0,8.0,554.0,25.812274368231048,51.26353790613718,85.1985559566787,1832.6186969724617,709325,7.8102421316039905
2023,32,島根県,67.0,3.0,3.0,551.0,66.96914700544465,86.20689655172414,100.0,5045.207360977073,661581,8.328534223322617
2023,37,香川県,148.0,4.0,5.0,546.0,41.57509157509158,76.55677655677655,100.0,3291.4704343275775,936729,5.828793599856522
2023,18,福井県,98.0,11.0,3.0,481.0,18.711018711018713,35.343035343035346,73.18087318087319,1275.6255375797996,755956,6.3628041843705185
2023,45,宮崎県,216.0,6.0,5.0,425.0,51.05882352941177,75.05882352941177,95.76470588235293,3357.1764705882347,1054364,4.030866000735989
2023,39,高知県,156.0,4.0,7.0,386.0,44.04145077720207,83.16062176165804,100.0,3636.2049987919145,681692,5.662381251356918
2023,35,山口県,183.0,8.0,8.0,329.0,29.78723404255319,54.1033434650456,83.28267477203647,1879.417226374479,1322972,2.4868251179919154
2023,10,群馬県,170.0,2.0,6.0,241.0,87.55186721991701,100.0,100.0,7820.285463404555,1911531,1.2607695088387267
2023,19,山梨県,77.0,2.0,2.0,175.0,81.14285714285714,100.0,100.0,6939.755102040816,798454,2.191735528909618
2023,05,秋田県,91.0,3.0,4.0,127.0,84.25196850393701,92.12598425196849,99.99999999999999,7222.394444788888,945856,1.34269910007443
2023,30,和歌山県,117.0,2.0,4.0,100.0,81.0,100.0,100.0,6922.000000000002,909463,1.0995499542037444
2023,15,新潟県,128.0,3.0,3.0,70.0,60.0,82.85714285714285,100.0,4416.326530612245,2169965,0.3225858481588413
2023,29,奈良県,96.0,1.0,1.0,28.0,100.0,100.0,100.0,10000.0,1305636,0.21445487103603147
2023,25,滋賀県,78.0,0.0,1.0,0.0,,,,,1393505,0.0
2024,13,東京都,834.0,80.0,0.0,31077.0,44.38330598191589,58.68648839978119,76.64510731409081,2317.7157267263938,13786556,22.541525236614568
2024,16,富山県,115.0,9.0,0.0,26501.0,94.63793819101166,97.6265046602015,99.78491377683861,8967.545320228526,1015585,260.94320022450114
2024,46,鹿児島県,421.0,26.0,0.0,25493.0,47.00898285803946,80.68097124700898,97.25022555211234,3476.693978304113,1558742,163.54855389795105
2024,27,大阪府,581.0,58.0,0.0,23498.0,72.82747467869606,77.03208783726274,87.45425142565324,5369.064464614606,8673459,27.09184421117342
2024,38,愛媛県,218.0,19.0,0.0,21375.0,97.09941520467837,97.81520467836258,98.86315789473686,9429.368812284123,1310036,163.16345505009025
2024,24,三重県,133.0,16.0,0.0,14168.0,92.32072275550537,95.42631281761716,98.26369282891022,8536.266703247407,1737358,81.54911077624762
2024,40,福岡県,725.0,42.0,0.0,10719.0,54.939826476350405,66.0136206735703,82.17184438846907,3262.3518214724586,5039789,21.268747560661765
2024,28,兵庫県,393.0,34.0,0.0,7411.0,43.59735528268789,62.43421940358925,76.66981513965726,2369.3978330103746,5363449,13.817601323327583
2024,14,神奈川県,433.0,44.0,0.0,6653.0,43.69457387644672,58.52998647226815,76.46174658049001,2282.5696179347133,9065685,7.338662219126299
2024,23,愛知県,509.0,38.0,0.0,6416.0,58.1359102244389,66.67705735660849,77.22880299251871,3528.469875031872,7402259,8.66762430225692
2024,12,千葉県,368.0,34.0,0.0,6355.0,25.365853658536587,42.53343823760818,74.08339889850511,1371.488033298647,6167699,10.30368051359186
2024,01,北海道,709.0,65.0,0.0,6216.0,13.73873873873874,26.44787644787645,50.37001287001287,652.8353367156456,5127528,12.122800694603715
2024,35,山口県,171.0,12.0,0.0,5683.0,92.89107865563963,96.02322716874889,99.08499032201303,8642.970757595353,1317120,43.14716958211856
2024,34,広島県,325.0,27.0,0.0,4930.0,60.06085192697769,70.16227180527383,79.69574036511156,3776.3257614719673,2747677,17.942429186545578
2024,22,静岡県,264.0,21.0,0.0,4682.0,29.75224263135412,51.04656129859034,82.33660828705682,1790.7576272092613,3565688,13.130705771228442
2024,25,滋賀県,77.0,3.0,0.0,2259.0,70.3851261620186,99.07038512616202,100.0,5777.774250496906,1387342,16.28293528199968
2024,11,埼玉県,460.0,37.0,0.0,2220.0,13.963963963963963,23.73873873873874,49.63963963963964,690.2889375862351,7208282,3.0797907185096256
2024,03,岩手県,131.0,17.0,0.0,2071.0,39.352969579913086,54.46644133268952,83.29309512312892,2114.5356269618305,1188039,17.43208766715571
2024,02,青森県,161.0,11.0,0.0,2007.0,75.93423019431988,86.24813153961136,95.2167414050822,5908.401312893662,1214979,16.518804028711607
2024,45,宮崎県,222.0,12.0,0.0,1909.0,60.345730749083295,73.17967522262964,95.23310633839708,3994.2446809123667,1049701,18.18613109828418
2024,07,福島県,155.0,11.0,0.0,1743.0,51.52036718301779,80.72289156626506,96.90189328743547,3668.8907914256824,1799088,9.688242042634934
2024,04,宮城県,187.0,14.0,0.0,1631.0,75.53648068669528,91.35499693439608,97.0570202329859,5968.559797696457,2259219,7.219308973587776
2024,26,京都府,190.0,14.0,0.0,1499.0,41.694462975316874,62.775183455637084,93.86257505003334,2518.276582876464,2530180,5.924479681287497
2024,18,福井県,98.0,13.0,0.0,1434.0,76.91771269177127,81.86889818688982,91.5620641562064,5985.811795233899,752613,19.05361719768327
