year,prefecture_code,prefecture_name,sma_code,sma_name,reporting_facilities,facilities_with_observed_online_use,facilities_with_suppressed_online_component,observed_online_patient_days,top1_share_observed_pct,top2_share_observed_pct,top5_share_observed_pct,hhi_observed,ndb_sma_name,online_primary_count,online_primary_missing_components,facility_report_to_ndb_ratio
2022,26,京都府,2602,中丹,19.0,1.0,0.0,111.0,100.0,100.0,100.0,10000.0,中丹,311.0,0,0.35691318327974275
2022,31,鳥取県,3102,中部,15.0,2.0,0.0,110.0,62.727272727272734,100.0,100.0,5323.9669421487615,中部,862.0,0,0.12761020881670534
2022,09,栃木県,0901,県北,29.0,1.0,1.0,106.0,100.0,100.0,100.0,10000.0,県北,170.0,0,0.6235294117647059
2022,11,埼玉県,1106,川越比企,59.0,1.0,3.0,106.0,100.0,100.0,100.0,10000.0,川越比企,2134.0,0,0.04967197750702906
2022,41,佐賀県,4102,東部,23.0,1.0,0.0,92.0,100.0,100.0,100.0,10000.0,東部,50.0,1,1.84
2022,18,福井県,1802,奥越,8.0,1.0,0.0,91.0,100.0,100.0,100.0,10000.0,奥越,54.0,1,1.6851851851851851
2022,26,京都府,2601,丹後,8.0,2.0,0.0,90.0,85.55555555555556,100.0,100.0,7528.3950617283945,丹後,446.0,1,0.20179372197309417
2022,30,和歌山県,3001,和歌山,66.0,2.0,2.0,84.0,78.57142857142857,100.0,100.0,6632.65306122449,和歌山,901.0,0,0.0932297447280799
2022,43,熊本県,4311,天草,36.0,1.0,0.0,80.0,100.0,100.0,100.0,10000.0,天草,118.0,0,0.6779661016949152
2022,18,福井県,1804,嶺南,12.0,1.0,1.0,78.0,100.0,100.0,100.0,10000.0,嶺南,962.0,0,0.08108108108108109
2022,01,北海道,0101,南渡島,47.0,2.0,2.0,77.0,71.42857142857143,100.0,100.0,5918.367346938775,南渡島,921.0,0,0.08360477741585233
2022,08,茨城県,0807,取手・竜ヶ崎,31.0,1.0,0.0,77.0,100.0,100.0,100.0,10000.0,取手・竜ヶ崎,517.0,0,0.14893617021276595
2022,08,茨城県,0806,つくば,22.0,1.0,1.0,69.0,100.0,100.0,100.0,10000.0,つくば,2222.0,0,0.031053105310531053
2022,02,青森県,0201,津軽地域,51.0,2.0,0.0,68.0,57.35294117647059,100.0,100.0,5108.131487889274,津軽地域,240.0,1,0.2833333333333333
2022,08,茨城県,0805,土浦,21.0,1.0,0.0,68.0,100.0,100.0,100.0,10000.0,土浦,460.0,0,0.14782608695652175
2022,34,広島県,3404,広島中央,27.0,3.0,2.0,67.0,43.28358208955223,74.62686567164178,100.0,3499.6658498552015,広島中央,196.0,1,0.34183673469387754
2022,01,北海道,0106,南空知,22.0,1.0,1.0,65.0,100.0,100.0,100.0,10000.0,南空知,53.0,1,1.2264150943396226
2022,03,岩手県,0305,気仙,6.0,1.0,0.0,65.0,100.0,100.0,100.0,10000.0,気仙,167.0,0,0.38922155688622756
2022,14,神奈川県,1404,川崎北部,26.0,2.0,1.0,62.0,62.903225806451616,100.0,100.0,5332.986472424558,川崎北部,4880.0,0,0.012704918032786885
2022,13,東京都,1307,区東部,80.0,1.0,4.0,60.0,100.0,100.0,100.0,10000.0,区東部,14253.0,0,0.004209640075773522
2022,14,神奈川県,1411,県西,28.0,1.0,1.0,56.0,100.0,100.0,100.0,10000.0,県西,1045.0,0,0.053588516746411484
2022,17,石川県,1701,南加賀,28.0,1.0,0.0,54.0,100.0,100.0,100.0,10000.0,南加賀,218.0,1,0.24770642201834864
2022,11,埼玉県,1107,西部,61.0,2.0,0.0,52.0,51.92307692307693,100.0,100.0,5007.3964497041425,西部,2210.0,0,0.023529411764705882
2022,14,神奈川県,1408,湘南西部,25.0,2.0,0.0,52.0,55.769230769230774,100.0,100.0,5066.568047337278,湘南西部,1909.0,0,0.027239392352016764
2022,34,広島県,3407,備北,16.0,1.0,1.0,52.0,100.0,100.0,100.0,10000.0,備北,25.0,1,2.08
2022,40,福岡県,4004,筑紫,51.0,1.0,2.0,48.0,100.0,100.0,100.0,10000.0,筑紫,400.0,0,0.12
2022,09,栃木県,0903,宇都宮,53.0,2.0,1.0,45.0,62.22222222222222,100.0,100.0,5298.765432098766,宇都宮,8018.0,0,0.005612372162634074
2022,46,鹿児島県,4610,肝属,40.0,1.0,0.0,45.0,100.0,100.0,100.0,10000.0,肝属,265.0,0,0.16981132075471697
2022,03,岩手県,0302,岩手中部,19.0,1.0,0.0,44.0,100.0,100.0,100.0,10000.0,岩手中部,320.0,1,0.1375
2022,40,福岡県,4006,久留米,90.0,1.0,1.0,43.0,100.0,100.0,100.0,10000.0,久留米,450.0,0,0.09555555555555556
2022,44,大分県,4401,東部,65.0,2.0,2.0,43.0,74.4186046511628,100.0,100.0,6192.536506219577,東部,104.0,1,0.41346153846153844
2022,36,徳島県,3605,西部,21.0,2.0,0.0,40.0,60.0,100.0,100.0,5200.0,西部,38.0,1,1.0526315789473684
2022,11,埼玉県,1105,県央,28.0,2.0,2.0,37.0,67.56756756756756,100.0,100.0,5617.2388604821035,県央,1117.0,0,0.03312444046553268
2022,01,北海道,0116,宗谷,12.0,1.0,1.0,36.0,100.0,100.0,100.0,10000.0,宗谷,54.0,0,0.6666666666666666
2022,32,島根県,3201,松江,25.0,1.0,0.0,35.0,100.0,100.0,100.0,10000.0,松江,1854.0,0,0.018878101402373247
2022,34,広島県,3405,尾三,32.0,1.0,1.0,35.0,100.0,100.0,100.0,10000.0,尾三,0.0,2,inf
2022,12,千葉県,1209,市原,19.0,2.0,3.0,34.0,61.76470588235294,100.0,100.0,5276.81660899654,市原,163.0,0,0.2085889570552147
2022,40,福岡県,4013,京築,25.0,1.0,0.0,34.0,100.0,100.0,100.0,10000.0,京築,0.0,0,inf
2022,10,群馬県,1004,高崎・安中,43.0,2.0,2.0,31.0,67.74193548387096,100.0,100.0,5629.552549427679,高崎・安中,734.0,0,0.04223433242506812
2022,15,新潟県,1505,魚沼,13.0,2.0,1.0,30.0,63.33333333333333,100.0,100.0,5355.555555555556,魚沼,381.0,0,0.07874015748031496
2022,04,宮城県,0409,石巻・登米・気仙沼,25.0,1.0,0.0,29.0,100.0,100.0,100.0,10000.0,石巻・登米・気仙沼,124.0,0,0.23387096774193547
2022,45,宮崎県,4501,宮崎東諸県,79.0,1.0,2.0,29.0,100.0,100.0,100.0,10000.0,宮崎東諸県,2220.0,0,0.013063063063063063
2022,04,宮城県,0403,仙台,121.0,1.0,2.0,20.0,100.0,100.0,100.0,10000.0,仙台,2266.0,0,0.0088261253309797
2022,21,岐阜県,2105,飛騨,12.0,1.0,1.0,18.0,100.0,100.0,100.0,10000.0,飛騨,36.0,1,0.5
2022,12,千葉県,1202,東葛南部,80.0,1.0,2.0,17.0,100.0,100.0,100.0,10000.0,東葛南部,9984.0,0,0.001702724358974359
2022,07,福島県,0707,いわき,27.0,1.0,2.0,16.0,100.0,100.0,100.0,10000.0,いわき,316.0,1,0.05063291139240506
2022,43,熊本県,4308,八代,29.0,1.0,0.0,16.0,100.0,100.0,100.0,10000.0,八代,0.0,1,inf
2022,07,福島県,0702,県中,46.0,1.0,0.0,15.0,100.0,100.0,100.0,10000.0,県中,1260.0,1,0.011904761904761904
2022,42,長崎県,4208,壱岐,5.0,1.0,0.0,15.0,100.0,100.0,100.0,10000.0,壱岐,15.0,0,1.0
2022,06,山形県,0602,最上,5.0,1.0,0.0,14.0,100.0,100.0,100.0,10000.0,最上,15.0,1,0.9333333333333333
2022,28,兵庫県,2804,東播磨,54.0,1.0,2.0,14.0,100.0,100.0,100.0,10000.0,東播磨,2030.0,0,0.006896551724137931
