year,prefecture_code,prefecture_name,sma_code,sma_name,reporting_facilities,facilities_with_observed_online_use,facilities_with_suppressed_online_component,observed_online_patient_days,top1_share_observed_pct,top2_share_observed_pct,top5_share_observed_pct,hhi_observed
2023,14,神奈川県,1411,県西,28.0,2.0,2.0,164.0,90.85365853658537,100.0,100.0,8338.04283164783
2023,11,埼玉県,1104,さいたま,50.0,3.0,3.0,158.0,62.0253164556962,83.54430379746836,100.0,4580.996635154622
2023,34,広島県,3404,広島中央,24.0,3.0,1.0,158.0,50.0,75.31645569620254,100.0,3750.200288415318
2023,07,福島県,0707,いわき,31.0,1.0,2.0,157.0,100.0,100.0,100.0,10000.0
2023,33,岡山県,3302,県南西部,81.0,3.0,1.0,151.0,77.48344370860927,90.72847682119205,100.0,6265.076093153809
2023,09,栃木県,0902,県西,17.0,1.0,0.0,149.0,100.0,100.0,100.0,10000.0
2023,01,北海道,0120,釧路,28.0,2.0,1.0,145.0,73.79310344827587,100.0,100.0,6132.223543400714
2023,36,徳島県,3603,南部,23.0,1.0,1.0,143.0,100.0,100.0,100.0,10000.0
2023,19,山梨県,1901,中北,43.0,1.0,0.0,142.0,100.0,100.0,100.0,10000.0
2023,43,熊本県,4308,八代,26.0,1.0,0.0,136.0,100.0,100.0,100.0,10000.0
2023,17,石川県,1701,南加賀,27.0,2.0,2.0,131.0,81.67938931297711,100.0,100.0,7007.167414486335
2023,05,秋田県,0502,県央,47.0,3.0,2.0,127.0,84.25196850393701,92.12598425196849,99.99999999999999,7222.394444788888
2023,35,山口県,3503,周南,30.0,2.0,3.0,125.0,64.0,100.0,100.0,5392.0
2023,06,山形県,0603,置賜,19.0,2.0,0.0,118.0,82.20338983050848,100.0,100.0,7074.116633151392
2023,43,熊本県,4311,天草,33.0,2.0,0.0,117.0,89.74358974358975,100.0,100.0,8159.105851413544
2023,02,青森県,0203,青森地域,40.0,2.0,5.0,116.0,89.65517241379311,100.0,100.0,8145.065398335316
2023,14,神奈川県,1408,湘南西部,26.0,2.0,2.0,114.0,65.78947368421053,100.0,100.0,5498.614958448754
2023,11,埼玉県,1105,県央,27.0,3.0,3.0,112.0,66.96428571428571,87.5,100.0,5062.181122448978
2023,18,福井県,1804,嶺南,12.0,2.0,0.0,104.0,86.53846153846155,100.0,100.0,7670.118343195267
2023,27,大阪府,2702,三島,40.0,3.0,1.0,101.0,55.44554455445545,90.0990099009901,100.0,4373.100676404275
2023,30,和歌山県,3001,和歌山,64.0,2.0,2.0,100.0,81.0,100.0,100.0,6922.000000000002
2023,02,青森県,0201,津軽地域,49.0,3.0,1.0,99.0,50.505050505050505,80.80808080808082,100.0,3837.3635343332317
2023,35,山口県,3501,岩国,20.0,1.0,0.0,98.0,100.0,100.0,100.0,10000.0
2023,20,長野県,2005,飯伊,11.0,1.0,0.0,96.0,100.0,100.0,100.0,10000.0
2023,38,愛媛県,3801,宇摩,10.0,2.0,0.0,96.0,86.45833333333334,100.0,100.0,7658.42013888889
2023,42,長崎県,4202,佐世保県北,73.0,3.0,1.0,95.0,66.3157894736842,88.42105263157895,100.0,5020.498614958447
2023,26,京都府,2605,山城北,26.0,1.0,0.0,91.0,100.0,100.0,100.0,10000.0
2023,22,静岡県,2204,富士,30.0,1.0,1.0,90.0,100.0,100.0,100.0,10000.0
2023,28,兵庫県,2804,東播磨,46.0,3.0,2.0,85.0,72.94117647058823,88.23529411764706,100.0,5692.73356401384
2023,27,大阪府,2704,中河内,42.0,2.0,1.0,84.0,77.38095238095238,100.0,100.0,6499.433106575964
2023,46,鹿児島県,4601,鹿児島,189.0,4.0,6.0,84.0,44.047619047619044,63.095238095238095,100.0,2984.6938775510207
2023,34,広島県,3405,尾三,30.0,1.0,0.0,80.0,100.0,100.0,100.0,10000.0
2023,42,長崎県,4209,対馬,3.0,1.0,0.0,80.0,100.0,100.0,100.0,10000.0
2023,21,岐阜県,2103,中濃,31.0,2.0,2.0,78.0,73.07692307692307,100.0,100.0,6065.088757396448
2023,32,島根県,3203,出雲,18.0,1.0,1.0,76.0,100.0,100.0,100.0,10000.0
2023,34,広島県,3407,備北,16.0,1.0,0.0,75.0,100.0,100.0,100.0,10000.0
2023,28,兵庫県,2810,淡路,14.0,1.0,1.0,73.0,100.0,100.0,100.0,10000.0
2023,23,愛知県,2302,海部,23.0,1.0,1.0,66.0,100.0,100.0,100.0,10000.0
2023,45,宮崎県,4505,西諸,20.0,3.0,1.0,64.0,35.9375,71.875,100.0,3374.0234375
2023,01,北海道,0105,後志,34.0,2.0,1.0,62.0,64.51612903225806,100.0,100.0,5421.436004162331
2023,38,愛媛県,3806,宇和島,20.0,1.0,0.0,62.0,100.0,100.0,100.0,10000.0
2023,35,山口県,3504,山口・防府,34.0,3.0,3.0,61.0,42.62295081967213,72.13114754098359,99.99999999999999,3464.1225477022303
2023,18,福井県,1803,丹南,24.0,3.0,2.0,59.0,50.847457627118644,79.66101694915254,100.0,3829.359379488653
2023,34,広島県,3403,呉,34.0,2.0,3.0,59.0,64.40677966101694,100.0,100.0,5415.110600402182
